Name,Level,Rating,Duration,Distance,Height
Pętla Wołosate - Tarnica - Halicz - Rozsypaniec (przez szlak niebieski i Główny Szlak Beskidzki): Bieszczadzki Park Narodowy,Expert,4.9,6.47,12.7,2625
Pętla Wołosate - Tarnica - Szeroki Wierch - Ustrzyki Górne (przez szlak niebieski i Główny Szlak Beskidzki): Bieszczadzki Park Narodowy,Expert,4.9,5.88,11.6,2275
Morskie Oko – Czarny Staw loop from Tatranská Javorina,Expert,4.8,7.05,14.1,1950
View of Morskie Oko – Wodogrzmoty Mickiewicza loop from Roztoka,Intermediate,4.8,4.73,9.88,1425
Mal Staw See in Polen – Blick auf Maly Staw loop from Karpacz Górny,Expert,4.9,6.43,12.4,2850
Pętla Smerek - Przełęcz Orłowicza - Wetlina: Bieszczadzki Park Narodowy,Intermediate,4.7,4.65,8.91,1975
Kirowa Woda Bridge – Schronisko na Hali Ornak loop from Strążyska,Expert,4.9,3.43,7.43,775
Pętla Ustrzyki Górne - Połonina Caryńska - Mała Rawka - Wielka Rawka: Bieszczadzki Park Narodowy,Expert,5.0,6.45,11.2,3400
Polanka - Sine Wiry: Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,5.0,2.15,4.7,550
Wetlina - Smerek (przez szlak żółty): Bieszczadzki Park Narodowy,Intermediate,5.0,3.53,6.43,1825
Pętla Truskaw - Rezerwat Cyganka - Rezerwat Zaborów Leśny: Kampinoski Park Narodowy,Intermediate,5.0,2.38,5.79,125
Smreczynski Staw – Schronisko na Hali Ornak loop from Strążyska,Expert,4.9,6.05,12.5,1475
Ustrzyki Górne - Połonica Caryńska - Kruhly Wierch: Bieszczadzki Park Narodowy,Intermediate,5.0,4.18,7.49,2150
"Ścieżka przyrodniczo-historyczna ""W dolinie Górnego Sanu"": Bieszczadzki Park Narodowy",Expert,5.0,5.95,13.4,1175
Wielka Siklawa – Morskie Oko loop from Tatranská Javorina,Expert,4.9,7.32,12.6,2750
Muczne - Tarnica (przez szlak żołty i niebieski): Bieszczadzki Park Narodowy,Expert,5.0,5.87,10.3,3125
Sokolica – Gówniak (1617m npm) loop from Polana-Kiczory,Intermediate,4.9,5.0,9.05,2450
Blick auf die Schneekoppe – Śnieżka - Schneekoppe loop from Karpacz,Expert,4.9,6.2,11.0,3200
Climb along stream – Siklawica waterfall loop from Zakopane,Expert,4.8,5.37,9.48,1775
Pętla Wetlina - Paportna - Rabia Skała - Kamienna - Kremenec - Wielka Rawka - Mała Rawka: Bieszczadzki Park Narodowy,Expert,5.0,9.72,18.7,4175
"Ścieżka przyrodnicza ""Spławy"": Poleski Park Narodowy",Easy,5.0,1.92,4.73,50
Brzegi Górne - Przełęcz Orłowicza przez Główny Szlak Beskidzki (GSB): Bieszczadzki Park Narodowy,Expert,5.0,5.4,9.91,2550
Ścieżka na wieżę widokową (pętla Muczne - Jeleniowaty): Park Krajobrazowy Doliny Sanu,Intermediate,5.0,1.42,2.74,600
Pętla Fort Radiowo - Rezerwat Łosiowe Błota,Easy,4.8,1.52,3.72,50
Pętla Wetlina - Jawornik (przez szlak żółty i zielony): Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,4.7,2.88,5.31,1300
Pętla Dziekanów Leśny - Bagno Sieraków: Kampinoski Park Narodowy,Intermediate,5.0,3.92,9.53,175
Pętla Roztoka - Rezerwat Żurawiowe - Posada Łubiec: Kampinoski Park Narodowy,Intermediate,5.0,2.45,5.94,125
Pętla Fort Radiowo - Rezerwat Łosiowe Błota,Easy,4.8,1.53,3.75,50
Bukowiec - Korbania (przez ścieżkę zieloną): Ciśniańsko-Wetliński Park Krajobrazowy,Intermediate,5.0,1.65,2.76,1000
Climb along stream – Sarnia Skala loop from Skibówki,Expert,4.9,4.6,7.79,1675
Przedni Staw – Wielka Siklawa loop from Tatranská Javorina,Expert,4.9,5.55,9.96,2225
"Ścieżka przyrodnicza ""Torfowisko Wysokie Tarnawa Niżna"": Bieszczadzki Park Narodowy",Easy,5.0,0.62,1.52,0
Dukla - Cergowa: Jaśliski Park Krajobrazowy,Intermediate,5.0,1.82,3.01,1100
Brama Zielona – Old Downtown Gdansk loop from Gdańsk Główny,Easy,4.9,1.92,4.6,125
Ścieżka przyrodnicza Folusz (pętla): Magurski Park Narodowy,Easy,5.0,1.92,3.99,625
"Pętla Przełęcz Wyżna - schronisko na Połoninie Wetlińskiej (""Chatka Puchatka""): Bieszczadzki Park Narodowy",Intermediate,5.0,1.88,3.22,1075
"Pętla Truskaw - Rezerwat Cyganka - Krzyż ""Jerzyków"": Kampinoski Park Narodowy",Intermediate,4.5,1.62,3.92,100
"Ścieżka dydaktyczna ""Czahary"": Poleski Park Narodowy",Easy,5.0,1.63,4.0,50
Pętla Kazimierz Dolny - wąwozy Korzeniowy Dół i Norowy Dół: Kazimierski Park Krajobrazowy,Easy,5.0,1.85,4.25,325
Pętla Palmiry - Mogilny Mostek - Długie Bagno - Muzeum w Palmirach: Kampinoski Park Narodowy,Intermediate,4.0,3.18,7.71,150
Kasprov vrch / Kasprowy Wierch – Przełęcz między Kopami loop from Bogówka,Expert,4.9,7.7,11.0,3575
Pętla Smerek - Szczyt Smerek - Jaworzec - Kalnica: Bieszczadzki Park Narodowy,Expert,4.3,5.58,11.1,2150
"Ścieżka ""Perehod"": Poleski Park Narodowy",Easy,4.7,1.5,3.64,75
"Ścieżka przyrodniczo-historyczna ""Nad Sztolnią"" (pętla z Cisnej): Ciśniańsko-Wetliński Park Krajobrazowy",Intermediate,5.0,1.5,2.84,700
Blick auf Maly Staw – Mal Staw See in Polen loop from Karpacz Górny,Intermediate,4.7,3.87,7.37,1750
"Pętla Rymanów Zdrój - Przymiarki - Iwonicz Zdrój (szlak ""Czy zobaczymy Tatry?"", powrót Głównym Szlakiem Beskidzkim)",Intermediate,5.0,4.97,10.1,1825
Brzegi Górne - Kruhly Wierch (Połonica Caryńska): Bieszczadzki Park Narodowy,Intermediate,5.0,2.5,3.65,1725
